BookingID,roomCount,type,BookingPrice,numberOfBookedNights,numberOfReviews,hasFreeCancellation,cancelled
1,1,HOTEL,104,3,220,0,1
2,1,HOTEL,107,8,47,1,1
3,1,APART_HOTEL,96,2,50,1,1
4,1,HOTEL,114,6,62,1,1
5,2,APART_HOTEL,105,1,71,1,1
6,1,APART_HOTEL,118,4,22,1,1
7,1,HOTEL,105,5,103,0,0
8,1,HOTEL,91,1,22,0,0
9,1,HOTEL,90,1,27,0,1
10,1,APART_HOTEL,94,2,45,1,1
11,1,HOTEL,103,6,42,0,0
12,1,APART_HOTEL,96,3,22,0,0
13,1,HOTEL,91,2,22,0,0
14,1,HOTEL_RESORT,91,1,42,0,1
15,1,APART_HOTEL,96,3,34,0,1
16,1,HOTEL,94,1,76,0,0
17,1,HOTEL,93,1,220,0,0
18,1,HOTEL_RESORT,115,1,25,0,1
19,1,HOTEL,93,2,74,0,0
20,1,VILLA,94,1,42,0,1
21,1,HOTEL,94,1,74,0,1
22,1,HOTEL,93,1,93,0,0
23,1,HOTEL,100,5,22,0,1
24,2,UNKNOWN,93,2,25,0,1
25,1,HOTEL,109,2,108,0,0
26,1,HOTEL,94,1,42,0,0
27,2,HOTEL,97,3,27,0,0
28,2,HOTEL,100,2,93,0,0
29,1,HOTEL,137,3,45,0,1
30,1,HOTEL,107,1,45,0,1
31,1,HOTEL,96,3,22,0,1
32,1,HOTEL,111,3,30,1,0
33,2,HOTEL,91,2,27,0,0
34,1,HOTEL,96,1,45,0,1
35,1,HOTEL,93,1,42,0,0
36,1,HOTEL,98,6,22,0,0
37,1,HOTEL,91,2,47,0,0
38,1,HOTEL,105,5,45,0,1
39,1,HOTEL,116,3,204,0,0
40,1,APARTMENT,100,3,25,0,0
41,1,HOTEL,101,2,56,0,0
42,1,HOTEL,94,1,120,0,0
43,1,UNKNOWN,101,4,30,1,1
44,1,UNKNOWN,91,1,50,0,0
45,1,APART_HOTEL,94,1,76,1,0
46,1,HOTEL,109,3,35,0,0
47,1,HOTEL,93,1,71,0,0
48,1,HOTEL,97,3,56,0,0
49,1,HOTEL,91,3,83,0,1
50,1,APARTMENT,91,2,84,1,0
51,1,HOTEL,91,1,137,0,0
52,2,HOTEL,188,6,42,0,0
53,1,HOTEL,97,2,30,0,0
54,1,HOTEL,93,1,84,0,1
55,1,APART_HOTEL,107,4,108,1,0
56,1,APART_HOTEL,107,4,39,0,0
57,4,HOTEL,97,4,22,0,1
58,1,HOTEL,93,3,30,0,0
59,2,HOTEL,107,3,88,0,0
60,1,HOTEL,104,2,124,0,0
61,2,HOTEL,93,2,34,0,1
62,1,HOTEL_RESORT,139,1,113,0,0
63,1,HOTEL,91,1,22,0,0
64,1,APART_HOTEL,91,1,62,0,1
65,1,APART_HOTEL,94,1,22,1,0
